"","Time..s.","RIP.Band.1","Preprocessed.Band.1","RIP.Band.2","Preprocessed.Band.2"
"382",16.01777,-0.0036651716,-0.0040931,NA,NA
"383",16.02177,-0.003735222,-0.0041042683,NA,NA
"384",16.02577,-0.0037668496,-0.004115459,NA,NA
"385",16.02977,-0.0037370324,-0.004126675,NA,NA
"386",16.033772,-0.003691882,-0.004137918,NA,NA
"387",16.037771,-0.0037049353,-0.0041491925,NA,NA
"388",16.04177,-0.0037838146,-0.0041604997,NA,NA
"389",16.04577,-0.003805697,-0.004171839,NA,NA
"390",16.04977,-0.0037902296,-0.0041832086,NA,NA
"391",16.05377,-0.0037272424,-0.004194608,NA,NA
"392",16.05777,-0.0037540868,-0.0042060353,NA,NA
"393",16.06177,-0.0038288087,-0.004217488,NA,NA
"394",16.065771,-0.0038605705,-0.004228965,NA,NA
"395",16.06977,-0.0038279146,-0.004240463,NA,NA
"396",16.07377,-0.0037888438,-0.0042519816,NA,NA
"397",16.07777,-0.003797248,-0.00426352,NA,NA
"398",16.08177,-0.0038768873,-0.004275075,NA,NA
"399",16.08577,-0.0039055645,-0.004286645,NA,NA
"400",16.08977,-0.003883347,-0.004298227,NA,NA
"401",16.09377,-0.00382749,-0.004309819,NA,NA
"402",16.09777,-0.0038529262,-0.004321419,NA,NA
"403",16.10177,-0.003926553,-0.004333025,NA,NA
"404",16.10577,-0.003962338,-0.0043446342,NA,NA
"405",16.10977,-0.003929861,-0.0043562455,NA,NA
"406",16.11377,-0.0038828105,-0.0043678572,NA,NA
"407",16.11777,-0.0038944334,-0.00437947,NA,NA
"408",16.121769,-0.0039740056,-0.0043910826,NA,NA
"409",16.125769,-0.004004024,-0.004402695,NA,NA
"410",16.12977,-0.003982477,-0.004414307,NA,NA
"411",16.13377,-0.0039236024,-0.0044259187,NA,NA
"412",16.13777,-0.003941126,-0.0044375313,NA,NA
"413",16.14177,-0.0040238723,-0.004449146,NA,NA
"414",16.14577,-0.004048057,-0.0044607627,NA,NA
"415",16.149769,-0.0040244088,-0.0044723833,NA,NA
"416",16.153769,-0.0039723963,-0.0044840095,NA,NA
"417",16.157768,-0.0039867684,-0.004495643,NA,NA
"418",16.16177,-0.004064128,-0.0045072855,NA,NA
"419",16.16577,-0.0040948614,-0.004518939,NA,NA
"420",16.16977,-0.0040692687,-0.0045306045,NA,NA
"421",16.173769,-0.004016809,-0.004542283,NA,NA
"422",16.177769,-0.0040278286,-0.0045539746,NA,NA
"423",16.181768,-0.0041047856,-0.0045656795,NA,NA
"424",16.185768,-0.0041438565,-0.0045773955,NA,NA
"425",16.189768,-0.004109122,-0.004589121,NA,NA
"426",16.19377,-0.0040666983,-0.004600854,NA,NA
"427",16.19777,-0.0040704757,-0.004612596,NA,NA
"428",16.201769,-0.004150316,-0.004624344,NA,NA
"429",16.205769,-0.0041858554,-0.004636097,NA,NA
"430",16.209768,-0.004158452,-0.004647852,NA,NA
"431",16.213768,-0.0041009635,-0.004659609,NA,NA
"432",16.217768,-0.0041229352,-0.004671368,NA,NA
"433",16.221767,-0.004192449,-0.0046831276,NA,NA
"434",16.225769,-0.0042305365,-0.004694886,NA,NA
"435",16.229769,-0.0042010546,-0.0047066417,NA,NA
"436",16.233768,-0.0041513443,-0.0047183936,NA,NA
"437",16.237768,-0.0041591227,-0.0047301427,NA,NA
"438",16.241768,-0.0042376444,-0.004741888,NA,NA
"439",16.245768,-0.0042658076,-0.0047536315,NA,NA
"440",16.249767,-0.0042470545,-0.004765374,NA,NA
"441",16.253767,-0.004186146,-0.0047771176,NA,NA
"442",16.257769,-0.004205346,-0.0047888635,NA,NA
"443",16.261768,-0.0042764023,-0.004800614,NA,NA
"444",16.265768,-0.0043104887,-0.00481237,NA,NA
"445",16.269768,-0.004278034,-0.0048241317,NA,NA
"446",16.273767,-0.0042330176,-0.0048358985,NA,NA
"447",16.277767,-0.0042325035,-0.00484767,NA,NA
"448",16.281767,-0.0043142214,-0.0048594433,NA,NA
"449",16.285767,-0.0043445528,-0.0048712147,NA,NA
"450",16.289768,-0.0043218434,-0.00488298,NA,NA
"451",16.293768,-0.0042648464,-0.0048947358,NA,NA
"452",16.297768,-0.0042705014,-0.0049064793,NA,NA
"453",16.301767,-0.0043504313,-0.0049182065,NA,NA
"454",16.305767,-0.0043838024,-0.004929913,NA,NA
"455",16.309767,-0.004346229,-0.0049415957,NA,NA
"456",16.313766,-0.0042978823,-0.004953252,NA,NA
"457",16.317766,-0.004305616,-0.00496488,NA,NA
"458",16.321768,-0.004385099,-0.004976477,NA,NA
"459",16.325768,-0.0044075623,-0.0049880394,NA,NA
"460",16.329767,-0.0043876693,-0.0049995645,NA,NA
"461",16.333767,-0.004323162,-0.0050110486,NA,NA
"462",16.337767,-0.0043445528,-0.00502249,NA,NA
"463",16.341766,-0.0044099763,-0.0050338847,NA,NA
"464",16.345766,-0.004439369,-0.0050452296,NA,NA
