Time (s), PPG trace, Preprocessed PPG
18.812675,82.59159,86.06973
18.826012,82.53788,86.09701
18.839348,82.37919,86.017624
18.852676,82.09598,85.80876
18.866013,81.6907,85.46898
18.879349,81.18288,85.01399
18.892677,80.59693,84.46501
18.906013,79.96704,83.853775
18.91935,79.32006,83.205765
18.932678,78.68772,82.55218
18.946014,78.08713,81.910576
18.959343,77.5378,81.301476
18.97268,77.05684,80.74357
18.986015,76.65156,80.246315
18.999344,76.32197,79.81209
19.01268,76.07294,79.44812
19.026009,75.89227,79.14474
19.039345,75.7702,78.8943
19.052681,75.70428,78.6962
19.06601,75.68719,78.54487
19.079346,75.70916,78.43207
19.092682,75.75311,78.341934
19.10601,75.81659,78.2727
19.119347,75.88495,78.21033
19.132683,75.95819,78.154976
19.146011,76.02899,78.09947
19.159348,76.09979,78.04618
19.172676,76.16571,77.99022
19.186012,76.22186,77.92655
19.199348,76.25361,77.84023
19.212677,76.265816,77.73537
19.226013,76.25849,77.61135
19.239342,76.23407,77.47001
19.252678,76.192566,77.31082
19.266014,76.1413,77.14057
19.279343,76.07538,76.95407
19.292679,76.00214,76.75819
19.306015,75.92401,76.55513
19.319344,75.843445,76.34719
19.33268,75.76044,76.13429
19.346016,75.682304,75.923676
19.359344,75.6115,75.71795
19.37268,75.55047,75.519775
19.38601,75.51385,75.34411
19.399345,75.51873,75.2088
19.412682,75.57244,75.122475
19.42601,75.701836,75.11351
19.439346,75.95819,75.23555
19.452675,76.45136,75.60242
19.466011,77.32052,76.36068
19.479347,78.692604,77.64903
19.492676,80.604256,79.51983
19.506012,82.97246,81.90691
19.519348,85.58236,84.6097
19.532677,88.1239,87.32569
19.546013,90.28214,89.73781
19.55935,91.825134,91.60212
19.572678,92.647896,92.79442
19.586014,92.75777,93.29954
19.599342,92.26704,93.20749
19.612679,91.34905,92.67285
19.626015,90.194244,91.8727
19.639343,88.98573,90.982765
19.65268,87.85779,90.13562
19.666008,86.90074,89.42413
19.679344,86.14633,88.88537
19.69268,85.56527,88.496376
19.706009,85.08675,88.191765
19.719345,84.63752,87.9015
19.732681,84.173645,87.58254
19.74601,83.69268,87.232
19.759346,83.243454,86.89817
19.772682,82.882126,86.6382
19.78601,82.64774,86.49388
19.799347,82.53544,86.46432
19.812675,82.49882,86.50693
19.826012,82.48173,86.567924
19.839348,82.42069,86.58444
19.852676,82.28153,86.52093
19.866013,82.04471,86.3554
19.879341,81.69802,86.07261
19.892677,81.24147,85.66912
19.906013,80.69459,85.16103
19.919342,80.079346,84.5675
19.932678,79.4226,83.91323
19.946014,78.75365,83.226234
19.959343,78.10666,82.5403
19.97268,77.51339,81.88786
19.986015,76.98848,81.28525
19.999344,76.53681,80.73947
20.01268,76.175476,80.26991
20.026009,75.894714,79.86964
20.039345,75.68719,79.53382
20.052681,75.54803,79.25989
20.06601,75.47234,79.04508
20.079346,75.45037,78.88162
20.092674,75.4699,78.75898
20.10601,75.511406,78.65892
20.119347,75.56756,78.57481
20.132675,75.63348,78.50221
20.146011,75.69451,78.426796
20.159348,75.755554,78.353294
20.172676,75.81415,78.27925
20.186012,75.8703,78.2046
20.199348,75.91669,78.12193
20.212677,75.95331,78.03095
20.226013,75.97772,77.92891
20.239342,75.98505,77.81054
20.252678,75.97772,77.67775
20.266014,75.96307,77.53741
20.279343,75.93622,77.3844
20.292679,75.894714,77.215904
20.306007,75.841,77.033905
20.319344,75.77997,76.8429
20.33268,75.70672,76.63778
20.346008,75.62615,76.42305
20.359344,75.543144,76.20336
20.37268,75.46258,75.98352
20.38601,75.39178,75.77093
20.399345,75.335625,75.57077
20.412682,75.301445,75.39083
20.42601,75.299,75.24156
20.439346,75.338066,75.13372
20.452675,75.423515,75.07349
20.466011,75.57488,75.08184
20.479347,75.83856,75.20724
